화학물질_한글명,울산_출현건수,CHEM_SBSTN_ENG_NM,CAS_NO,UN_MNG_NO,RDTMP_STTS_NM,SBSTN_COLR_NM,SMELL_SPCQLT_NM,유별_위험물분류
오쏘-자일렌[자일렌],1,o-Xylene [Xylene],95-47-6,1307.0,액체,무색,달콤한 향,
n-부탄,1,n-Butane,106-97-8,,기체(액화압축가스로 운송됨| -0.55C이하는 액체),무색,가솔린 냄새,
과산화 수소,1,Hydrogen peroxide,7722-84-1,2014.0,액체,무색,무취,
뷰틸 클로로포름산,1,n-butyl chloroformate,592-34-7,2743.0,액체,무색,톡 쏘는 자극적인 냄새,
할로겐족폐유기용제,1,,,,,,,
산화 프로필렌,1,Propylene oxide,75-56-9,1280.0,액체(34 C/94 F 이상에서는 가스상임),무색,달콤한| 알코올 냄새,
부틸 아세트산,1,Butyl acetate,123-86-4,1123.0,액체,무색,과일/ 플로랄/ 달콤한 냄새| 바나나 냄새,
솔벤트(엑솔D40),1,솔벤트(엑솔D40),64742-48-8,,,,,
NONYL PHENOL,1,,84582-15-3,,,,,
DMC,1,,556-67-2,,,,,
